date,open,high,low,close,volume
2021-01-01,27.200000762939453,28.149999618530273,26.950000762939453,27.549999237060547,3080324
2021-01-04,28.75,28.899999618530273,28.100000381469727,28.899999618530273,4364971
2021-01-05,28.899999618530273,30.299999237060547,28.299999237060547,30.299999237060547,6501863
2021-01-06,30.299999237060547,30.649999618530273,29.149999618530273,29.649999618530273,5065730
2021-01-07,29.25,29.950000762939453,28.25,28.5,3406662
2021-01-08,28.700000762939453,29.850000381469727,28.5,29.450000762939453,3410303
2021-01-11,30.5,30.899999618530273,29.600000381469727,30.899999618530273,7605575
2021-01-12,31.549999237060547,32.400001525878906,30.049999237060547,32.349998474121094,7156762
2021-01-13,32.400001525878906,33.0,31.299999237060547,31.5,6026760
2021-01-14,31.600000381469727,32.45000076293945,31.299999237060547,31.450000762939453,1427878
2021-01-15,31.5,32.04999923706055,30.25,31.450000762939453,1992198
2021-01-18,31.799999237060547,31.950000762939453,30.100000381469727,30.350000381469727,1532517
2021-01-19,30.700000762939453,31.25,29.299999237060547,30.700000762939453,2468790
2021-01-20,30.399999618530273,30.5,29.799999237060547,30.100000381469727,2050624
2021-01-21,30.200000762939453,31.600000381469727,30.100000381469727,30.850000381469727,4284073
2021-01-22,31.0,31.200000762939453,29.799999237060547,30.350000381469727,1791094
2021-01-25,30.049999237060547,31.100000381469727,29.600000381469727,30.350000381469727,1651008
2021-01-27,30.299999237060547,30.399999618530273,29.299999237060547,29.950000762939453,1459772
2021-01-28,29.75,29.75,28.549999237060547,28.899999618530273,1890589
2021-01-29,29.100000381469727,29.700000762939453,27.5,27.700000762939453,3058613
2021-02-01,27.950000762939453,29.049999237060547,27.200000762939453,28.200000762939453,3806392
2021-02-02,28.700000762939453,29.600000381469727,28.100000381469727,29.549999237060547,2653815
2021-02-03,29.850000381469727,31.0,29.5,31.0,2486179
2021-02-04,31.75,32.54999923706055,31.200000762939453,32.54999923706055,3302470
2021-02-05,33.900001525878906,34.099998474121094,31.600000381469727,33.349998474121094,5899667
2021-02-08,33.75,34.79999923706055,32.5,32.79999923706055,2960509
2021-02-09,33.25,33.599998474121094,31.850000381469727,32.45000076293945,1714065
2021-02-10,32.0,32.20000076293945,30.799999237060547,31.299999237060547,2604870
2021-02-11,31.200000762939453,32.5,31.100000381469727,31.850000381469727,2099679
2021-02-12,32.0,33.400001525878906,31.350000381469727,32.900001525878906,3064708
2021-02-15,33.0,33.150001525878906,31.799999237060547,32.400001525878906,1983080
2021-02-16,32.79999923706055,32.79999923706055,31.299999237060547,31.950000762939453,1668806
2021-02-17,31.799999237060547,32.150001525878906,31.350000381469727,31.799999237060547,1324740
2021-02-18,31.600000381469727,31.850000381469727,30.0,30.649999618530273,1949182
2021-02-19,30.799999237060547,31.25,29.75,30.700000762939453,2763271
2021-02-22,30.899999618530273,33.349998474121094,29.899999618530273,31.649999618530273,3922771
2021-02-23,32.25,32.900001525878906,31.5,32.04999923706055,2852380
2021-02-24,32.0,32.20000076293945,30.5,31.700000762939453,774853
2021-02-25,31.950000762939453,32.0,31.149999618530273,31.549999237060547,1657855
2021-02-26,30.700000762939453,31.75,30.100000381469727,30.850000381469727,2280714
2021-03-01,31.600000381469727,33.900001525878906,30.75,32.849998474121094,6974151
2021-03-02,33.20000076293945,33.95000076293945,31.799999237060547,32.400001525878906,3586414
2021-03-03,32.79999923706055,33.099998474121094,31.549999237060547,31.700000762939453,2370578
