date,open,high,low,close,volume,split_ratio
2022-04-12,3.0612239837646484,3.0612239837646484,3.0612239837646484,3.0612239837646484,23519,0.0
2022-04-13,3.3673460483551025,3.3673460483551025,3.1530609130859375,3.3673460483551025,535197,0.0
2022-04-18,3.7040810585021973,3.7040810585021973,3.7040810585021973,3.7040810585021973,98039,0.0
2022-04-19,3.8890299797058105,3.8890299797058105,3.8890299797058105,3.8890299797058105,121911,0.0
2022-04-20,4.0829081535339355,4.0829081535339355,3.7117340564727783,4.0829081535339355,2887040,0.0
2022-04-21,4.286989212036133,4.286989212036133,4.286989212036133,4.286989212036133,101253,0.0
2022-04-22,4.501275062561035,4.501275062561035,4.329081058502197,4.501275062561035,1592264,0.0
2022-04-25,4.725765228271484,4.725765228271484,4.461733818054199,4.725765228271484,1290620,0.0
2022-04-26,4.961733818054199,4.961733818054199,4.961733818054199,4.961733818054199,249468,0.0
2022-04-27,5.209183216094971,5.209183216094971,4.714284896850586,5.096938133239746,5878823,0.0
2022-04-28,5.1785712242126465,5.350765228271484,4.860969066619873,5.350765228271484,1805943,0.0
2022-04-29,5.556121826171875,5.617345809936523,5.4846930503845215,5.617345809936523,794035,0.0
2022-05-02,5.852039813995361,5.897959232330322,5.852039813995361,5.897959232330322,247587,0.0
2022-05-04,6.192602157592773,6.192602157592773,6.192602157592773,6.192602157592773,143236,0.0
2022-05-05,6.501275062561035,6.501275062561035,5.896683216094971,6.341835975646973,2739178,0.0
2022-05-06,6.025509834289551,6.025509834289551,6.025509834289551,6.025509834289551,152762,0.0
2022-05-09,5.724489212036133,6.0204081535339355,5.724489212036133,5.724489212036133,873885,0.0
2022-05-10,5.438775062561035,5.438775062561035,5.438775062561035,5.438775062561035,101449,0.0
2022-05-11,5.167090892791748,5.710459232330322,5.167090892791748,5.710459232330322,619359,0.0
2022-05-12,5.956632137298584,5.99489688873291,5.831632137298584,5.99489688873291,410071,0.0
2022-05-13,6.286989212036133,6.294641971588135,5.867345809936523,6.294641971588135,421752,0.0
2022-05-16,6.594387054443359,6.608417987823486,5.9808669090271,6.378826141357422,276203,0.0
2022-05-17,6.505102157592773,6.505102157592773,6.059947967529297,6.125,121519,0.0
2022-05-18,6.237244129180908,6.431121826171875,5.86989688873291,6.364795207977295,348840,0.0
2022-05-19,6.0471930503845215,6.325254917144775,6.0471930503845215,6.077805995941162,242530,0.0
2022-05-20,6.058672904968262,6.121172904968262,5.774233818054199,5.871172904968262,179810,0.0
2022-05-23,5.663265228271484,6.045917987823486,5.577805995941162,5.943877220153809,172401,0.0
2022-05-24,5.716835975646973,6.061223983764648,5.688775062561035,5.936223983764648,72284,0.0
2022-05-25,5.688775062561035,6.121172904968262,5.642857074737549,5.663265228271484,270793,0.0
2022-05-26,5.660714149475098,5.739795207977295,5.380102157592773,5.600765228271484,203134,0.0
2022-05-27,5.433672904968262,5.739795207977295,5.408163070678711,5.573978900909424,64483,0.0
2022-05-30,5.849489212036133,5.849489212036133,5.408163070678711,5.469387054443359,85534,0.0
2022-05-31,5.483417987823486,5.742345809936523,5.205357074737549,5.724489212036133,3854653,0.0
2022-06-01,5.943877220153809,5.943877220153809,5.4846930503845215,5.747447967529297,100234,0.0
2022-06-02,5.747447967529297,6.0204081535339355,5.618621826171875,5.86989688873291,115326,0.0
2022-06-03,5.99489688873291,6.163265228271484,5.669641971588135,6.163265228271484,222459,0.0
2022-06-06,6.377551078796387,6.377551078796387,6.1785712242126465,6.321427822113037,34848,0.0
2022-06-07,6.377551078796387,6.377551078796387,6.033163070678711,6.309947967529297,188238,0.0
2022-06-08,6.503826141357422,6.622447967529297,5.99489688873291,6.585459232330322,4822187,0.0
2022-06-09,6.862244129180908,6.914539813995361,6.256377220153809,6.256377220153809,1381055,0.0
2022-06-10,5.94515323638916,6.25,5.943877220153809,5.943877220153809,302780,0.0
2022-06-13,5.943877220153809,5.943877220153809,5.669641971588135,5.714284896850586,168834,0.0
2022-06-14,5.6096930503845215,5.714284896850586,5.4285712242126465,5.573978900909424,168716,0.0
2022-06-15,5.586733818054199,5.852039813995361,5.357141971588135,5.464284896850586,367852,0.0
2022-06-16,5.610969066619873,5.737244129180908,5.216835975646973,5.737244129180908,5552836,0.0
2022-06-17,5.737244129180908,6.022959232330322,5.690051078796387,6.022959232330322,137591,0.0
2022-06-20,6.122447967529297,6.323978900909424,5.963009834289551,6.063775062561035,211640,0.0
2022-06-21,6.25,6.352039813995361,5.841835975646973,5.998723983764648,102821,0.0
2022-06-22,5.878826141357422,6.096938133239746,5.704081058502197,6.010203838348389,623515,0.0
2022-06-23,6.224489212036133,6.224489212036133,5.942602157592773,5.996172904968262,96118,0.0
2022-06-24,5.969387054443359,6.159438133239746,5.774233818054199,5.872447967529297,126851,0.0
